City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
222,Cockburn Town,TC,82.29,clear sky,21.4612,-71.1419,Osprey Beach Hotel
223,Neiafu,TO,81.28,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
224,Tubuala,PA,78.33,overcast clouds,9.5167,-79.0333,Río Nabagana
227,Zarand,IR,70.95,clear sky,30.8127,56.564,خونه بابا حمید
230,Thompson,CA,73.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
233,Luganville,VU,80.94,few clouds,-15.5333,167.1667,The Espiritu Hotel
235,Catio,GW,75.7,moderate rain,11.2833,-15.25,Pausada Morabedja
238,Butterworth,MY,80.64,few clouds,5.3991,100.3638,Cititel Penang
239,La Ronge,CA,80.82,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
240,Karatau,KZ,74.08,broken clouds,43.1667,70.4667,Baza Zika
243,Majene,ID,83.8,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
244,Alta Floresta,BR,71.42,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
248,Lanas,PH,83.91,overcast clouds,12.0495,121.9185,Carabao Guesthouse
251,Curup,ID,76.75,few clouds,-3.4667,102.5333,Ayi The Costel
253,Am Timan,TD,73.53,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
254,Kakori,IN,82.67,overcast clouds,26.8833,80.8,Vision
256,Praia Da Vitoria,PT,73.76,broken clouds,38.7333,-27.0667,Hotel Branco I
257,Alenquer,BR,75.54,scattered clouds,-1.9417,-54.7383,Josilene Castro
260,Tautira,PF,80.01,scattered clouds,-17.7333,-149.15,Pension Oaoa
263,Port Blair,IN,83.44,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
266,Lalganj,IN,80.55,overcast clouds,25.8667,85.1833,Munna Maruti repering center
267,Bat Khela,PK,80.92,scattered clouds,34.6167,71.9714,Electric and pipe fitting
268,Changli,CN,75.61,overcast clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
269,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
271,Agadir,MA,70.25,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
273,Muisne,EC,75.22,overcast clouds,0.6,-80.0333,Quinta Samay
274,Mogadishu,SO,75.9,light rain,2.0371,45.3438,Hotel Juba
277,Grand Gaube,MU,70.2,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
280,Dauphin,CA,78.94,clear sky,51.1494,-100.0502,Canway Inn & Suites
284,Miraflores,MX,70.45,broken clouds,19.2167,-98.8083,Hotel Mansión
286,Kavieng,PG,83.84,light rain,-2.5744,150.7967,Nusa Island Retreat
288,Peace River,CA,82.71,few clouds,56.2501,-117.286,BCMInns - Peace River
294,Arani,IN,82.35,overcast clouds,12.6667,79.2833,KPK LODGE
296,Tura,IN,75.06,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
298,El Roble,CO,77.18,overcast clouds,9.1019,-75.1951,Los Frailes
300,Iwanai,JP,84.65,few clouds,42.9744,140.5089,いわない高原ホテル
301,Fare,PF,77.67,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
308,Miguel Hidalgo,MX,71.01,broken clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
310,Teahupoo,PF,74.53,light rain,-17.8333,-149.2667,Vanira Lodge
312,Yatou,CN,80.19,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
314,Miramar,US,82.0,few clouds,25.9873,-80.2323,Miramar
315,Melfi,IT,79.23,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
321,Mingyue,CN,78.73,overcast clouds,43.1069,128.9217,安图土地大厦
341,Mayo,US,80.71,mist,38.8876,-76.5119,Resorts Resource Group International
342,Mersing,MY,80.51,scattered clouds,2.4312,103.8405,Timotel Hotel
344,Chabahar,IR,84.78,overcast clouds,25.2919,60.643,هتل گدروشیا
346,Havelock,US,82.38,clear sky,34.8791,-76.9013,Sherwood Motel
349,Dwarka,IN,82.35,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
350,Ribeira Grande,PT,70.57,clear sky,38.5167,-28.7,Quinta da Meia Eira
351,Benghazi,LY,80.92,clear sky,32.1167,20.0667,Tibesti Hotel
352,Anta,IN,77.65,light rain,25.15,76.3,Agnisaman Kendra
353,Bac Lieu,VN,76.23,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
355,Kismayo,SO,75.29,broken clouds,-0.3582,42.5454,Agan-Hotel
357,Samarai,PG,80.02,scattered clouds,-10.6167,150.6667,Nuli Sapi
358,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
359,Hamilton,US,83.03,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
362,Preeceville,CA,79.5,overcast clouds,51.95,-102.6677,Golden West Hotel
366,Algiers,DZ,76.82,mist,36.7525,3.042,Sofitel Algiers Hamma Garden
370,Keningau,MY,81.05,overcast clouds,5.3378,116.1602,Sabindo Hotel
371,Balikpapan,ID,82.38,overcast clouds,-1.2675,116.8289,ibis Balikpapan
372,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
374,Wajima,JP,84.88,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
